id,species,sample_id,file,abundance
S1023C114_Ruminococcus_C_callidus,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C_callidus,ERR1620339,../2_gapseq/1.1_gapseq_models/S1023C114.batch2.xml,1537.2199999999991
S1036C303_Eubacterium_R_sp900539425,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R_sp900539425,ERR1620339,../2_gapseq/1.1_gapseq_models/S1036C303.batch2.xml,9.07
S1042C89_CAG-83_sp000435555,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83_sp000435555,ERR1620339,../2_gapseq/1.1_gapseq_models/S1042C89.batch2.xml,18.27
S107C2064_UMGS1441_unk_sp,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__UMGS1441;s__,ERR1620339,../2_gapseq/1.1_gapseq_models/S107C2064.batch2.xml,12.45
S110C112_Faecalibacterium_sp900758465,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_sp900758465,ERR1620339,../2_gapseq/1.1_gapseq_models/S110C112.batch2.xml,57.59
S111C387_Faecalibacterium_prausnitzii_D,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii_D,ERR1620339,../2_gapseq/1.1_gapseq_models/S111C387.batch2.xml,580.2500000000001
S1133C65_Bifidobacterium_sp002742445,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_sp002742445,ERR1620339,../2_gapseq/1.1_gapseq_models/S1133C65.batch2.xml,17.33
S1135C512_CAG-83_sp900552475,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83_sp900552475,ERR1620339,../2_gapseq/1.1_gapseq_models/S1135C512.batch2.xml,27.53
S114C345_Streptococcus_salivarius,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius,ERR1620339,../2_gapseq/1.1_gapseq_models/S114C345.batch1.xml,392.0700000000001
S119C462_CAG-81_sp900066785,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81_sp900066785,ERR1620339,../2_gapseq/1.1_gapseq_models/S119C462.batch1.xml,13.66
S11C398_Dysosmobacter_sp001916835,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter_sp001916835,ERR1620339,../2_gapseq/1.1_gapseq_models/S11C398.batch2.xml,48.400000000000006
S121C65_Clostridium_Q_sp003024715,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q_sp003024715,ERR1620339,../2_gapseq/1.1_gapseq_models/S121C65.batch1.xml,423.36
S134C452_Anaerotignum_sp001304995,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum_sp001304995,ERR1620339,../2_gapseq/1.1_gapseq_models/S134C452.batch2.xml,6.78
S134C81_Faecalibacterium_prausnitzii_C,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii_C,ERR1620339,../2_gapseq/1.1_gapseq_models/S134C81.batch1.xml,530.42
S135C246_Bariatricus_comes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus_comes,ERR1620339,../2_gapseq/1.1_gapseq_models/S135C246.batch1.xml,155.74999999999997
S138C777_Bacteroides_uniformis,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis,ERR1620339,../2_gapseq/1.1_gapseq_models/S138C777.batch1.xml,1353.0100000000002
S15C185_TF01-11_sp003524945,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11_sp003524945,ERR1620339,../2_gapseq/1.1_gapseq_models/S15C185.batch2.xml,6.27
S161C266_Bifidobacterium_bifidum,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum,ERR1620339,../2_gapseq/1.1_gapseq_models/S161C266.batch1.xml,394.1800000000002
S161C58_Fusicatenibacter_saccharivorans,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter_saccharivorans,ERR1620339,../2_gapseq/1.1_gapseq_models/S161C58.batch1.xml,197.04
S165C739_Parabacteroides_acidifaciens,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_acidifaciens,ERR1620339,../2_gapseq/1.1_gapseq_models/S165C739.batch1.xml,7.43
