id,species,sample_id,file,abundance,relative_abundance
S166C416.batch1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A_mortiferum,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S166C416.batch1.xml,18266.770000000008,40.161
S898C754.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster_clostridioformis,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S898C754.batch2.xml,6813.479999999999,14.98
S975C400.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_dorei,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S975C400.batch2.xml,4531.22,9.9623
S189C697.batch1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S189C697.batch1.xml,4255.410000000001,9.3559
S127C7720.batch1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A_somerae,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S127C7720.batch1.xml,4226.31,9.2919
S473C356.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B_gnavus,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S473C356.batch1.xml,2673.5100000000007,5.8779
S785C1241.batch2,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A_ulcerans,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S785C1241.batch2.xml,1410.4899999999998,3.1011
S515C180.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis_A,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S515C180.batch2.xml,1006.8100000000004,2.2136
S852C438.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_merdae,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S852C438.batch2.xml,529.57,1.1643
S287C754.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster_bolteae,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S287C754.batch2.xml,442.19,0.9722
S285C141.batch1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sp900554435,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S285C141.batch1.xml,396.22,0.8711
S130C78.batch1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium_ramosum,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S130C78.batch1.xml,339.76,0.747
S456C3.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster_sp001517625,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S456C3.batch2.xml,192.73,0.4237
S1058C1330.batch2,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas_A;s__Selenomonas_A_sp900769615,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S1058C1330.batch2.xml,89.44,0.1966
S143C104.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster_aldenensis,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S143C104.batch1.xml,73.83,0.1623
S908C121.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279_sp000437795,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S908C121.batch2.xml,63.29,0.1391
S318C70.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum_soehngenii,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S318C70.batch1.xml,61.52,0.1353
S287C140.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella_sp900066775,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S287C140.batch2.xml,58.32,0.1282
S480C2003.batch1,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula_A,ERR1620290,MetaModels_SummerSchool/GEMs_gapseq/S480C2003.batch1.xml,53.00000000000001,0.1165
