id,species,sample_id,file,abundance
S1038C1059_Butyrivibrio_A_sp000431815,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A_sp000431815,ERR1620290,../2_gapseq/1.1_gapseq_models/S1038C1059.batch2.xml,7.5
S1058C1330_Selenomonas_A_sp900769615,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas_A;s__Selenomonas_A_sp900769615,ERR1620290,../2_gapseq/1.1_gapseq_models/S1058C1330.batch2.xml,89.44
S107C2064_UMGS1441_unk_sp,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__UMGS1441;s__,ERR1620290,../2_gapseq/1.1_gapseq_models/S107C2064.batch2.xml,12.23
S1083C200_Klebsiella_pneumoniae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_pneumoniae,ERR1620290,../2_gapseq/1.1_gapseq_models/S1083C200.batch2.xml,10.32
S114C345_Streptococcus_salivarius,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius,ERR1620290,../2_gapseq/1.1_gapseq_models/S114C345.batch1.xml,19.95
S117C198_Faecalimonas_umbilicata,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas_umbilicata,ERR1620290,../2_gapseq/1.1_gapseq_models/S117C198.batch1.xml,15.9
S117C380_Clostridioides_difficile,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides_difficile,ERR1620290,../2_gapseq/1.1_gapseq_models/S117C380.batch1.xml,8.26
S117C469_Hungatella_effluvii,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella_effluvii,ERR1620290,../2_gapseq/1.1_gapseq_models/S117C469.batch1.xml,21.88
S119C28730_Lactobacillus_delbrueckii_B,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_delbrueckii_B,ERR1620290,../2_gapseq/1.1_gapseq_models/S119C28730.batch1.xml,5.59
S11C398_Dysosmobacter_sp001916835,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter_sp001916835,ERR1620290,../2_gapseq/1.1_gapseq_models/S11C398.batch2.xml,5.87
S122C111_Blautia_sp001304935,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia_sp001304935,ERR1620290,../2_gapseq/1.1_gapseq_models/S122C111.batch1.xml,25.01
S127C7720_Cetobacterium_A_somerae,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A_somerae,ERR1620290,../2_gapseq/1.1_gapseq_models/S127C7720.batch1.xml,4226.31
S128C404_Plesiomonas_shigelloides,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Plesiomonas;s__Plesiomonas_shigelloides,ERR1620290,../2_gapseq/1.1_gapseq_models/S128C404.batch1.xml,5.55
S130C298_Blautia_A_sp900066145,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A_sp900066145,ERR1620290,../2_gapseq/1.1_gapseq_models/S130C298.batch2.xml,27.01
S130C78_Erysipelatoclostridium_ramosum,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium_ramosum,ERR1620290,../2_gapseq/1.1_gapseq_models/S130C78.batch1.xml,339.76
S134C452_Anaerotignum_sp001304995,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum_sp001304995,ERR1620290,../2_gapseq/1.1_gapseq_models/S134C452.batch2.xml,7.34
S138C777_Bacteroides_uniformis,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis,ERR1620290,../2_gapseq/1.1_gapseq_models/S138C777.batch1.xml,36.19
S143C104_Enterocloster_aldenensis,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster_aldenensis,ERR1620290,../2_gapseq/1.1_gapseq_models/S143C104.batch1.xml,73.83
S144C74_UBA9502_sp900540335,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502_sp900540335,ERR1620290,../2_gapseq/1.1_gapseq_models/S144C74.batch1.xml,10.97
S161C58_Fusicatenibacter_saccharivorans,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter_saccharivorans,ERR1620290,../2_gapseq/1.1_gapseq_models/S161C58.batch1.xml,7.27
S165C739_Parabacteroides_acidifaciens,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_acidifaciens,ERR1620290,../2_gapseq/1.1_gapseq_models/S165C739.batch1.xml,4.77
S166C416_Fusobacterium_A_mortiferum,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A_mortiferum,ERR1620290,../2_gapseq/1.1_gapseq_models/S166C416.batch1.xml,18266.770000000008
S189C697_Escherichia_coli,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli,ERR1620290,../2_gapseq/1.1_gapseq_models/S189C697.batch1.xml,4255.410000000001
S223C8_Bacteroides_caccae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_caccae,ERR1620290,../2_gapseq/1.1_gapseq_models/S223C8.batch1.xml,24.700000000000003
S229C71_Roseburia_intestinalis,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis,ERR1620290,../2_gapseq/1.1_gapseq_models/S229C71.batch1.xml,9.18
S24C391_Schaedlerella_sp900066545,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella_sp900066545,ERR1620290,../2_gapseq/1.1_gapseq_models/S24C391.batch2.xml,10.29
S25C46_Phocaeicola_coprocola,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_coprocola,ERR1620290,../2_gapseq/1.1_gapseq_models/S25C46.batch2.xml,14.04
S269C2048_Bacteroides_stercoris,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris,ERR1620290,../2_gapseq/1.1_gapseq_models/S269C2048.batch2.xml,14.89
S276C106_Agathobacter_faecis,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter_faecis,ERR1620290,../2_gapseq/1.1_gapseq_models/S276C106.batch1.xml,8.51
S276C83_Haemophilus_D_unk_sp,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__,ERR1620290,../2_gapseq/1.1_gapseq_models/S276C83.batch1.xml,22.5
S285C141_Phocaeicola_sp900554435,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sp900554435,ERR1620290,../2_gapseq/1.1_gapseq_models/S285C141.batch1.xml,396.22
S287C140_Eisenbergiella_sp900066775,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella_sp900066775,ERR1620290,../2_gapseq/1.1_gapseq_models/S287C140.batch2.xml,58.32
S287C754_Enterocloster_bolteae,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster_bolteae,ERR1620290,../2_gapseq/1.1_gapseq_models/S287C754.batch2.xml,442.19
