id,species,sample_id,file,abundance,relative_abundance
S393C109.batch1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S393C109.batch1.xml,369.03,0.8254
S121C65.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q_sp003024715,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S121C65.batch1.xml,341.09000000000003,0.7629
S433C19.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira_sp900316325,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S433C19.batch2.xml,323.84,0.7243
S229C71.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S229C71.batch1.xml,316.2,0.7072
S397C250.batch2,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Faecalibacillus;s__Faecalibacillus_intestinalis,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S397C250.batch2.xml,297.06,0.6644
S161C58.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter_saccharivorans,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S161C58.batch1.xml,261.37,0.5846
S69C642.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A_longicatena_B,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S69C642.batch2.xml,255.02999999999992,0.5704
S1128C749.batch2,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S1128C749.batch2.xml,245.58,0.5493
S114C345.batch1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S114C345.batch1.xml,238.73000000000005,0.534
S419C749.batch2,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S419C749.batch2.xml,232.18,0.5193
