id,species,sample_id,file,abundance,relative_abundance
S255C374.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger_formicilis,ERR1620339,MetaModels_SummerSchool/Micom_tables/S255C374.batch2.xml,7557.750000000001,23.058
S25C46.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_coprocola,ERR1620339,MetaModels_SummerSchool/Micom_tables/S25C46.batch2.xml,3415.150000000001,10.4193
S975C400.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_dorei,ERR1620339,MetaModels_SummerSchool/Micom_tables/S975C400.batch2.xml,2562.9799999999996,7.8194
S269C2048.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris,ERR1620339,MetaModels_SummerSchool/Micom_tables/S269C2048.batch2.xml,2106.4100000000003,6.4265
S538C99.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E_sp900314705,ERR1620339,MetaModels_SummerSchool/Micom_tables/S538C99.batch2.xml,1765.6100000000004,5.3867
S174C190.batch2,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister_invisus,ERR1620339,MetaModels_SummerSchool/Micom_tables/S174C190.batch2.xml,1710.5000000000005,5.2186
S1023C114.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C_callidus,ERR1620339,MetaModels_SummerSchool/Micom_tables/S1023C114.batch2.xml,1537.2199999999991,4.6899
S40C770.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter_rectalis,ERR1620339,MetaModels_SummerSchool/Micom_tables/S40C770.batch2.xml,1455.87,4.4417
S138C777.batch1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis,ERR1620339,MetaModels_SummerSchool/Micom_tables/S138C777.batch1.xml,1353.0100000000002,4.1279
S638C388.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4_sp000765235,ERR1620339,MetaModels_SummerSchool/Micom_tables/S638C388.batch2.xml,921.81,2.8124
S755C1365.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii,ERR1620339,MetaModels_SummerSchool/Micom_tables/S755C1365.batch2.xml,767.9899999999999,2.3431
S637C94.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103_sp000432375,ERR1620339,MetaModels_SummerSchool/Micom_tables/S637C94.batch2.xml,598.92,1.8272
S111C387.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii_D,ERR1620339,MetaModels_SummerSchool/Micom_tables/S111C387.batch2.xml,580.2500000000001,1.7703
S134C81.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii_C,ERR1620339,MetaModels_SummerSchool/Micom_tables/S134C81.batch1.xml,530.42,1.6183
S295C10.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217_sp000436335,ERR1620339,MetaModels_SummerSchool/Micom_tables/S295C10.batch1.xml,516.49,1.5758
S223C8.batch1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_caccae,ERR1620339,MetaModels_SummerSchool/Micom_tables/S223C8.batch1.xml,504.08,1.5379
S573C382.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis,ERR1620339,MetaModels_SummerSchool/Micom_tables/S573C382.batch2.xml,477.91,1.4581
S121C65.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q_sp003024715,ERR1620339,MetaModels_SummerSchool/Micom_tables/S121C65.batch1.xml,423.36,1.2916
S161C266.batch1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum,ERR1620339,MetaModels_SummerSchool/Micom_tables/S161C266.batch1.xml,394.1800000000002,1.2026
S114C345.batch1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius,ERR1620339,MetaModels_SummerSchool/Micom_tables/S114C345.batch1.xml,392.0700000000001,1.1962
S449C65.batch2,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pseudocatenulatum,ERR1620339,MetaModels_SummerSchool/Micom_tables/S449C65.batch2.xml,341.06000000000006,1.0405
S898C3140.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus,ERR1620339,MetaModels_SummerSchool/Micom_tables/S898C3140.batch2.xml,240.54000000000008,0.7339
S413C138.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83_sp000431575,ERR1620339,MetaModels_SummerSchool/Micom_tables/S413C138.batch2.xml,225.15000000000003,0.6869
S217C425.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira_eligens_A,ERR1620339,MetaModels_SummerSchool/Micom_tables/S217C425.batch2.xml,221.85999999999996,0.6769
S506C1400.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii_G,ERR1620339,MetaModels_SummerSchool/Micom_tables/S506C1400.batch2.xml,220.51,0.6728
S161C58.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter_saccharivorans,ERR1620339,MetaModels_SummerSchool/Micom_tables/S161C58.batch1.xml,197.03999999999996,0.6012
S515C180.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis_A,ERR1620339,MetaModels_SummerSchool/Micom_tables/S515C180.batch2.xml,176.89,0.5397
S393C109.batch1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum,ERR1620339,MetaModels_SummerSchool/Micom_tables/S393C109.batch1.xml,172.83,0.5273
S97C26.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis,ERR1620339,MetaModels_SummerSchool/Micom_tables/S97C26.batch2.xml,161.97,0.4942
S135C246.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus_comes,ERR1620339,MetaModels_SummerSchool/Micom_tables/S135C246.batch1.xml,155.74999999999997,0.4752
S312C339.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger_sp900540595,ERR1620339,MetaModels_SummerSchool/Micom_tables/S312C339.batch2.xml,150.98000000000002,0.4606
S744C50.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_sp900552665,ERR1620339,MetaModels_SummerSchool/Micom_tables/S744C50.batch2.xml,146.38,0.4466
S229C71.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis,ERR1620339,MetaModels_SummerSchool/Micom_tables/S229C71.batch1.xml,120.55,0.3678
S827C501.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_finegoldii,ERR1620339,MetaModels_SummerSchool/Micom_tables/S827C501.batch2.xml,107.78000000000002,0.3288
S698C129.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C_sp000433635,ERR1620339,MetaModels_SummerSchool/Micom_tables/S698C129.batch2.xml,95.13,0.2902
S287C140.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella_sp900066775,ERR1620339,MetaModels_SummerSchool/Micom_tables/S287C140.batch2.xml,93.43,0.285
S880C852.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_plebeius_A,ERR1620339,MetaModels_SummerSchool/Micom_tables/S880C852.batch2.xml,83.95,0.2561
