metabolite,sample_id,MES,name,molecular_weight,C_number,N_number,sbo,metanetx.chemical,inchikey,seed.compound,hmdb,reactome,kegg.compound,chebi,bigg.metabolite,biocyc,reaction
cpd00100_e0,ERR1620289_sub,0.0,Glycerol-e0,92.09382,3,0,SBO:0000247,MNXM89612,PEDCQBHIVMGVHV-UHFFFAOYSA-N,cpd00100,HMDB00131,"['R-ALL-192438', 'R-ALL-76116']",C00116,"['CHEBI:17754', 'CHEBI:131422', 'CHEBI:14334', 'CHEBI:24351', 'CHEBI:42998', 'CHEBI:5448']",glyc,META:GLYCEROL,EX_cpd00100_e0
cpd00105_e0,ERR1620289_sub,3.0,D-Ribose-e0,150.1299,5,0,SBO:0000247,MNXM242,HMFHBZSHGGEWLO-SOOFDHNKSA-N,cpd00105,HMDB00283,,"['C00121', 'C21057']","['CHEBI:16988', 'CHEBI:13011', 'CHEBI:21078', 'CHEBI:47006', 'CHEBI:47013', 'CHEBI:4233', 'CHEBI:46999']",rib__D,"['META:D-Ribofuranose', 'META:D-Ribopyranose']",EX_cpd00105_e0
cpd00106_e0,ERR1620289_sub,1.5,Fumarate-e0,114.05628,4,0,SBO:0000247,MNXM93,VZCYOOQTPOCHFL-OWOJBTEDSA-L,cpd00106,HMDB00134,"['R-ALL-113588', 'R-ALL-29586']",C00122,"['CHEBI:18012', 'CHEBI:24124', 'CHEBI:42743', 'CHEBI:5190', 'CHEBI:22958', 'CHEBI:29806', 'CHEBI:14284', 'CHEBI:24122', 'CHEBI:42511', 'CHEBI:36180', 'CHEBI:22956', 'CHEBI:22957', 'CHEBI:37154', 'CHEBI:37155']",fum,META:FUM,EX_cpd00106_e0
cpd00107_e0,ERR1620289_sub,1.9130434782608696,L-Leucine-e0,131.17292,6,1,SBO:0000247,MNXM140,ROHFNLRQFUQHCH-YFKPBYRVSA-N,cpd00107,"['HMDB00687', 'HMDB62203']","['R-ALL-113580', 'R-ALL-29588', 'R-ALL-351964']","['C00123', 'C16439']","['CHEBI:15603', 'CHEBI:10866', 'CHEBI:13131', 'CHEBI:21348', 'CHEBI:43646', 'CHEBI:43695', 'CHEBI:43733', 'CHEBI:43814', 'CHEBI:6260', 'CHEBI:25017', 'CHEBI:32619', 'CHEBI:32620', 'CHEBI:32627', 'CHEBI:32628', 'CHEBI:57427']",leu__L,META:LEU,EX_cpd00107_e0
cpd00117_e0,ERR1620289_sub,1.5,D-Alanine-e0,89.09318,3,1,SBO:0000247,MNXM156,QNAYBMKLOCPYGJ-UWTATZPHSA-N,cpd00117,HMDB01310,,C00133,"['CHEBI:15570', 'CHEBI:10840', 'CHEBI:12899', 'CHEBI:20893', 'CHEBI:4087', 'CHEBI:41756', 'CHEBI:41798', 'CHEBI:41848', 'CHEBI:41877', 'CHEBI:32435', 'CHEBI:32436', 'CHEBI:57416']",ala__D,META:D-ALANINE,EX_cpd00117_e0
cpd00118_e0,ERR1620289_sub,0.0,Putrescine-e0,90.16736,4,2,SBO:0000247,MNXM118,KIDHWZJUCRJVML-UHFFFAOYSA-P,cpd00118,"['HMDB01414', 'HMDB60243']","['R-ALL-141350', 'R-ALL-29610']",C00134,"['CHEBI:17148', 'CHEBI:14972', 'CHEBI:26405', 'CHEBI:45092', 'CHEBI:8650', 'CHEBI:326268']",ptrc,META:PUTRESCINE,EX_cpd00118_e0
cpd00119_e0,ERR1620289_sub,0.0,L-Histidine-e0,155.15456,6,3,SBO:0000247,MNXM134,HNDVDQJCIGZPNO-YFKPBYRVSA-N,cpd00119,"['HMDB00177', 'HMDB03412']","['R-ALL-29612', 'R-ALL-379695']","['C00135', 'C00768']","['CHEBI:15971', 'CHEBI:13117', 'CHEBI:21324', 'CHEBI:43048', 'CHEBI:43114', 'CHEBI:43190', 'CHEBI:43239', 'CHEBI:6240', 'CHEBI:27570', 'CHEBI:24598', 'CHEBI:43118', 'CHEBI:5733', 'CHEBI:32510', 'CHEBI:32511', 'CHEBI:32512', 'CHEBI:32513', 'CHEBI:32529', 'CHEBI:32530', 'CHEBI:32531', 'CHEBI:32532', 'CHEBI:57595']",his__L,META:HIS,EX_cpd00119_e0
cpd00122_e0,ERR1620289_sub,0.0,acgam-e0,221.2078,8,1,SBO:0000247,MNXM143,OVRNDRQMDRJTHS-RTRLPJTCSA-N,cpd00122,"['HMDB00215', 'HMDB00533', 'HMDB14288', 'HMDB62641']","['R-ALL-1678743', 'R-ALL-2162231']",C00140,"['CHEBI:17411', 'CHEBI:12455', 'CHEBI:12563', 'CHEBI:21517', 'CHEBI:58134', 'CHEBI:7123', 'CHEBI:506227']",acgam,META:N-acetyl-D-glucosamine,EX_cpd00122_e0
cpd00129_e0,ERR1620289_sub,0.0,L-Proline,115.13046,5,1,SBO:0000247,MNXM114,ONIBWKKTOPOVIA-BYPYZUCNSA-N,cpd00129,HMDB00162,"['R-ALL-113538', 'R-ALL-352033', 'R-ALL-379717']","['C00148', 'C16435']","['CHEBI:17203', 'CHEBI:13154', 'CHEBI:184637', 'CHEBI:21373', 'CHEBI:42067', 'CHEBI:45040', 'CHEBI:45100', 'CHEBI:45159', 'CHEBI:6286', 'CHEBI:26271', 'CHEBI:32862', 'CHEBI:32864', 'CHEBI:32871', 'CHEBI:32872', 'CHEBI:60039', 'CHEBI:58054']",pro__L,META:PRO,EX_cpd00129_e0
cpd00130_e0,ERR1620289_sub,1.3333333333333333,L-Malate-e0,132.07156,4,0,SBO:0000247,MNXM98,BJEPYKJPYRNKOW-REOHCLBHSA-L,cpd00130,HMDB00156,"['R-ALL-113544', 'R-ALL-198498']",C00149,"['CHEBI:15589', 'CHEBI:11066', 'CHEBI:13140', 'CHEBI:18784', 'CHEBI:30797', 'CHEBI:18785', 'CHEBI:423']",mal__L,META:MAL,EX_cpd00130_e0
cpd00132_e0,ERR1620289_sub,1.9230769230769231,L-Asparagine-e0,132.11792,4,2,SBO:0000247,MNXM147,DCXYFEDJOCDNAF-REOHCLBHSA-N,cpd00132,HMDB00168,"['R-ALL-29642', 'R-ALL-379703']","['C00152', 'C16438']","['CHEBI:17196', 'CHEBI:13083', 'CHEBI:21242', 'CHEBI:40902', 'CHEBI:6191', 'CHEBI:22653', 'CHEBI:32650', 'CHEBI:32651', 'CHEBI:32660', 'CHEBI:32661', 'CHEBI:58048']",asn__L,META:ASN,EX_cpd00132_e0
cpd00141_e0,ERR1620289_sub,1.0,Propionate-e0,73.0706,3,0,SBO:0000247,MNXM356,XBDQKXXYIPTUBI-UHFFFAOYSA-M,cpd00141,HMDB00237,,C00163,"['CHEBI:17272', 'CHEBI:14903', 'CHEBI:26290', 'CHEBI:30768', 'CHEBI:26304', 'CHEBI:45227', 'CHEBI:8476']",,META:PROPIONATE,EX_cpd00141_e0
cpd00149_e0,ERR1620289_sub,0.0,Co2+-e0,58.9332,0,0,SBO:0000247,MNXM90960,XLJKHNWPARRRJB-UHFFFAOYSA-N,cpd00149,HMDB00608,,C00175,"['CHEBI:48828', 'CHEBI:23337', 'CHEBI:48827']",cobalt2,META:CO+2,EX_cpd00149_e0
cpd00156_e0,ERR1620289_sub,1.8888888888888888,L-Valine-e0,117.14634,5,1,SBO:0000247,MNXM199,KZSNJWFQEVHDMF-BYPYZUCNSA-N,cpd00156,"['HMDB00883', 'HMDB34366']","['R-ALL-113540', 'R-ALL-29702']","['C00183', 'C16436']","['CHEBI:16414', 'CHEBI:13186', 'CHEBI:21417', 'CHEBI:46282', 'CHEBI:46376', 'CHEBI:46418', 'CHEBI:46484', 'CHEBI:6321', 'CHEBI:27266', 'CHEBI:32851', 'CHEBI:32852', 'CHEBI:32859', 'CHEBI:32860', 'CHEBI:57762', 'CHEBI:87977']",val__L,META:VAL,EX_cpd00156_e0
cpd00161_e0,ERR1620289_sub,0.0,L-Threonine-e0,119.11916,4,1,SBO:0000247,MNXM142,AYFVYJQAPQTCCC-GBXIJSLDSA-N,cpd00161,HMDB00167,"['R-ALL-351990', 'R-ALL-352000', 'R-ALL-379706']",C00188,"['CHEBI:16857', 'CHEBI:13175', 'CHEBI:21403', 'CHEBI:42083', 'CHEBI:45843', 'CHEBI:45983', 'CHEBI:6308', 'CHEBI:26986', 'CHEBI:32820', 'CHEBI:32822', 'CHEBI:32832', 'CHEBI:32833', 'CHEBI:57926']",thr__L,META:THR,EX_cpd00161_e0
cpd00179_e0,ERR1620289_sub,0.0,Maltose-e0,342.29648000000003,12,0,SBO:0000247,MNXM165,GUBGYTABKSRVRQ-PICCSMPSSA-N,cpd00179,,"['R-ALL-188986', 'R-ALL-868706']","['C00208', 'C00897']","['CHEBI:17306', 'CHEBI:14568', 'CHEBI:25144', 'CHEBI:6668', 'CHEBI:18167', 'CHEBI:10300', 'CHEBI:12340', 'CHEBI:22463', 'CHEBI:43893']",malt,"['META:ALPHA-MALTOSE', 'META:MALTOSE']",EX_cpd00179_e0
cpd00182_e0,ERR1620289_sub,1.9166666666666667,Adenosine-e0,267.24132,10,5,SBO:0000247,MNXM212,OIRDTQYFTABQOQ-KQYNXXCUSA-N,cpd00182,"['HMDB00050', 'HMDB04401', 'HMDB04402', 'HMDB04421']","['R-ALL-83908', 'R-ALL-83909', 'R-ALL-8857850']",C00212,"['CHEBI:16335', 'CHEBI:13734', 'CHEBI:22237', 'CHEBI:2472', 'CHEBI:40558', 'CHEBI:40825', 'CHEBI:40906', 'CHEBI:40911']",adn,META:ADENOSINE,EX_cpd00182_e0
cpd00184_e0,ERR1620289_sub,1.8181818181818181,Thymidine-e0,242.22856000000002,10,2,SBO:0000247,MNXM420,IQFYYKKMVGJFEH-XLPZGREQSA-N,cpd00184,HMDB00273,R-ALL-83928,C00214,"['CHEBI:17748', 'CHEBI:15244', 'CHEBI:19273', 'CHEBI:45782', 'CHEBI:45834', 'CHEBI:45917', 'CHEBI:45918', 'CHEBI:9579', 'CHEBI:53527']",thymd,META:THYMIDINE,EX_cpd00184_e0
cpd00185_e0,ERR1620289_sub,1.0,D-Arabinose-e0,150.1299,5,0,SBO:0000247,MNXM544,SRBFZHDQGSBBOR-ZRMNMSDTSA-N,cpd00185,,,C00216,CHEBI:46994,arab__D,META:D-arabinopyranose,EX_cpd00185_e0
cpd00204_e0,ERR1620289_sub,0.0,CO-e0,29.01804,1,0,SBO:0000247,MNXM10881,UGFAIRIUMAVXCW-UHFFFAOYSA-N,cpd00204,HMDB01361,R-ALL-189385,C00237,"['CHEBI:17245', 'CHEBI:13281', 'CHEBI:23013', 'CHEBI:3282', 'CHEBI:41526', 'CHEBI:58072']",co,META:CARBON-MONOXIDE,EX_cpd00204_e0
cpd00205_e0,ERR1620289_sub,0.0,K+-e0,39.0983,0,0,SBO:0000247,MNXM95,NPYPAHLBTDXSSS-UHFFFAOYSA-N,cpd00205,HMDB00586,"['R-ALL-29804', 'R-ALL-5626313', 'R-ALL-74126']",C00238,"['CHEBI:29103', 'CHEBI:26219', 'CHEBI:49685', 'CHEBI:8345']",k,META:K+,EX_cpd00205_e0
cpd00208_e0,ERR1620289_sub,0.0,LACT-e0,342.29648000000003,12,0,SBO:0000247,MNXM362,GUBGYTABKSRVRQ-QKKXKWKRSA-N,cpd00208,HMDB41627,,"['C00243', 'C01970']","['CHEBI:17716', 'CHEBI:10296', 'CHEBI:10380', 'CHEBI:14497', 'CHEBI:22460', 'CHEBI:22760', 'CHEBI:25005', 'CHEBI:27755', 'CHEBI:27968', 'CHEBI:28577', 'CHEBI:613009', 'CHEBI:36218', 'CHEBI:10428', 'CHEBI:22846', 'CHEBI:35463', 'CHEBI:43665']",lcts,"['META:CPD-15971', 'META:CPD-15972']",EX_cpd00208_e0
cpd00211_e0,ERR1620289_sub,1.6,Butyrate-e0,87.09718,4,0,SBO:0000247,MNXM458,FERIUCNNQQJTOY-UHFFFAOYSA-M,cpd00211,HMDB00039,"['R-ALL-76179', 'R-ALL-8875042']",C00246,"['CHEBI:17968', 'CHEBI:13924', 'CHEBI:22946', 'CHEBI:30772', 'CHEBI:113450', 'CHEBI:22948', 'CHEBI:3234', 'CHEBI:41208']",,META:BUTYRIC_ACID,EX_cpd00211_e0
cpd00216_e0,ERR1620289_sub,0.0,Chorismate,224.16692,10,0,SBO:0000247,MNXM337,WTFXTQVDAKGDEY-HTQZYQBOSA-L,cpd00216,HMDB12199,R-ALL-964856,C00251,"['CHEBI:17333', 'CHEBI:23227', 'CHEBI:3677', 'CHEBI:29748', 'CHEBI:13993', 'CHEBI:23225']",chor,META:CHORISMATE,EX_cpd00216_e0
cpd00220_e0,ERR1620289_sub,0.0,Riboflavin,375.35596,17,4,SBO:0000247,MNXM270,AUNGANRZJHBGPY-SCRDCRAPSA-M,cpd00220,HMDB00244,"['R-ALL-196931', 'R-ALL-3165253']",C00255,"['CHEBI:17015', 'CHEBI:15044', 'CHEBI:27299', 'CHEBI:45214', 'CHEBI:529204', 'CHEBI:8843', 'CHEBI:57986']",ribflv,META:RIBOFLAVIN,EX_cpd00220_e0
cpd00221_e0,ERR1620289_sub,0.0,D-Lactate-e0,89.07,3,0,SBO:0000247,MNXM285,JVTAAEKCZFNVCJ-UWTATZPHSA-M,cpd00221,"['HMDB01311', 'HMDB00171']",,C00256,"['CHEBI:16004', 'CHEBI:11001', 'CHEBI:18684', 'CHEBI:42111', 'CHEBI:341', 'CHEBI:42105', 'CHEBI:43701']",lac__D,META:D-LACTATE,EX_cpd00221_e0
cpd00229_e0,ERR1620289_sub,0.0,Glycolaldehyde-e0,60.05196,2,0,SBO:0000247,MNXM349,WGCNASOHLSPBMP-UHFFFAOYSA-N,cpd00229,"['HMDB03344', 'HMDB02165']",,C00266,"['CHEBI:131198', 'CHEBI:17071', 'CHEBI:14347', 'CHEBI:24386', 'CHEBI:5474']",gcald,META:GLYCOLALDEHYDE,EX_cpd00229_e0
cpd00232_e0,ERR1620289_sub,0.0,Neu5Ac-e0,308.26192000000003,11,1,SBO:0000247,MNXM227,SQVRNKJHWKZAKO-LUWBGTNYSA-M,cpd00232,"['HMDB00230', 'HMDB00800']",,"['C00270', 'C19910']","['CHEBI:17012', 'CHEBI:21620', 'CHEBI:29087', 'CHEBI:7214', 'CHEBI:35418', 'CHEBI:12471', 'CHEBI:12579', 'CHEBI:21617', 'CHEBI:33987', 'CHEBI:45744', 'CHEBI:58705']",acnam,"['META:CPD0-1123', 'META:N-ACETYLNEURAMINATE']",EX_cpd00232_e0
cpd00239_e0,ERR1620289_sub,1.8,H2S-e0,33.072939999999996,0,0,SBO:0000247,MNXM89582,RWSOTUBLDIXVET-UHFFFAOYSA-M,cpd00239,"['HMDB00598', 'HMDB03276']","['R-ALL-1614532', 'R-ALL-1655881', 'R-ALL-1663154']",C00283,"['CHEBI:15138', 'CHEBI:16136', 'CHEBI:13356', 'CHEBI:14414', 'CHEBI:24639', 'CHEBI:43058', 'CHEBI:45489', 'CHEBI:5787', 'CHEBI:29919', 'CHEBI:30488']",h2s,"['META:CPD-7046', 'META:CPD-846', 'META:HS']",EX_cpd00239_e0
cpd00246_e0,ERR1620289_sub,1.0,Inosine-e0,268.22608,10,4,SBO:0000247,MNXM334,UGQMRVRMYYASKQ-KQYNXXCUSA-N,cpd00246,HMDB00195,"['R-ALL-83921', 'R-ALL-83927']",C00294,"['CHEBI:17596', 'CHEBI:14456', 'CHEBI:24841', 'CHEBI:44407', 'CHEBI:5927']",ins,META:INOSINE,EX_cpd00246_e0
cpd00249_e0,ERR1620289_sub,1.0,Uridine-e0,244.20138,9,2,SBO:0000247,MNXM288,DRTQHJPVMGBUCF-XVFCMESISA-N,cpd00249,HMDB00296,,C00299,"['CHEBI:16704', 'CHEBI:15296', 'CHEBI:27227', 'CHEBI:46386', 'CHEBI:46391', 'CHEBI:46460', 'CHEBI:46463', 'CHEBI:9893']",uri,META:URIDINE,EX_cpd00249_e0
cpd00254_e0,ERR1620289_sub,0.0,Mg-e0,24.305,0,0,SBO:0000247,MNXM653,JLVVSXFLKOJNIY-UHFFFAOYSA-N,cpd00254,HMDB00547,"['R-ALL-109496', 'R-ALL-114632', 'R-ALL-29926', 'R-ALL-5336432']",C00305,"['CHEBI:18420', 'CHEBI:13379', 'CHEBI:25112', 'CHEBI:49736', 'CHEBI:6635', 'CHEBI:39127']",mg2,META:MG+2,EX_cpd00254_e0
cpd00264_e0,ERR1620289_sub,1.8666666666666667,Spermidine-e0,148.26968,7,3,SBO:0000247,MNXM124,ATHGHQPFGPMSJY-UHFFFAOYSA-Q,cpd00264,HMDB01257,"['R-ALL-141324', 'R-ALL-204635']",C00315,"['CHEBI:16610', 'CHEBI:15095', 'CHEBI:15097', 'CHEBI:26732', 'CHEBI:26733', 'CHEBI:45647', 'CHEBI:9218', 'CHEBI:57834']",spmd,META:SPERMIDINE,EX_cpd00264_e0
cpd00276_e0,ERR1620289_sub,1.0,GLUM-e0,180.17906,6,1,SBO:0000247,MNXM533,MSWZFWKMSRAUBD-IVMDWMLBSA-O,cpd00276,"['HMDB01514', 'HMDB06479', 'HMDB15410']",R-ALL-6786660,C00329,"['CHEBI:17315', 'CHEBI:12961', 'CHEBI:47977', 'CHEBI:4162', 'CHEBI:47972', 'CHEBI:5417', 'CHEBI:58723']",gam,META:GLUCOSAMINE,EX_cpd00276_e0
cpd00277_e0,ERR1620289_sub,1.8571428571428572,Deoxyguanosine-e0,267.24132,10,5,SBO:0000247,MNXM647,YKBGVTZYEHREMT-KVQBGUIXSA-N,cpd00277,HMDB00085,,C00330,"['CHEBI:17172', 'CHEBI:14116', 'CHEBI:19244', 'CHEBI:23624', 'CHEBI:42667', 'CHEBI:42867', 'CHEBI:42874', 'CHEBI:42987', 'CHEBI:4412']",dgsn,META:DEOXYGUANOSINE,EX_cpd00277_e0
cpd00305_e0,ERR1620289_sub,0.0,Thiamin-e0,265.35458,12,4,SBO:0000247,MNXM161565,MYVIATVLJGTBFV-UHFFFAOYSA-M,cpd00305,,,,CHEBI:33283,thm,,EX_cpd00305_e0
cpd00307_e0,ERR1620289_sub,1.3333333333333333,Cytosine-e0,111.102,4,3,SBO:0000247,MNXM761,OPTASPLRGRRNAP-UHFFFAOYSA-N,cpd00307,HMDB00630,,C00380,"['CHEBI:16040', 'CHEBI:14066', 'CHEBI:23531', 'CHEBI:4072', 'CHEBI:41732']",csn,META:CYTOSINE,EX_cpd00307_e0
cpd00309_e0,ERR1620289_sub,1.894736842105263,XAN-e0,152.11086,5,4,SBO:0000247,MNXM174,LRFVTYWOQMYALW-UHFFFAOYSA-N,cpd00309,HMDB00292,R-ALL-30064,C00385,"['CHEBI:15318', 'CHEBI:17712', 'CHEBI:10059', 'CHEBI:27317', 'CHEBI:46377', 'CHEBI:48517']",xan,META:XANTHINE,EX_cpd00309_e0
cpd00311_e0,ERR1620289_sub,1.875,Guanosine-e0,283.24072,10,5,SBO:0000247,MNXM401,NYHBQMYGNKIUIF-UUOKFMHZSA-N,cpd00311,HMDB00133,,C00387,"['CHEBI:16750', 'CHEBI:14375', 'CHEBI:24444', 'CHEBI:42840', 'CHEBI:42847', 'CHEBI:42853', 'CHEBI:471737', 'CHEBI:5564']",gsn,META:GUANOSINE,EX_cpd00311_e0
cpd00314_e0,ERR1620289_sub,0.0,D-Mannitol-e0,182.17176,6,0,SBO:0000247,MNXM615,FBPFZTCFMRRESA-KVTDHHQDSA-N,cpd00314,"['HMDB00765', 'HMDB01363']",,C00392,"['CHEBI:16899', 'CHEBI:12996', 'CHEBI:130180', 'CHEBI:21050', 'CHEBI:44192', 'CHEBI:6686', 'CHEBI:29864', 'CHEBI:14574', 'CHEBI:25163']",mnl,META:MANNITOL,EX_cpd00314_e0
cpd00322_e0,ERR1620289_sub,0.0,L-Isoleucine-e0,131.17292,6,1,SBO:0000247,MNXM231,AGPKZVBTJJNPAG-WHFBIAKZSA-N,cpd00322,HMDB00172,"['R-ALL-113537', 'R-ALL-30102']",C00407,"['CHEBI:17191', 'CHEBI:13127', 'CHEBI:21344', 'CHEBI:43290', 'CHEBI:43342', 'CHEBI:43366', 'CHEBI:6255', 'CHEBI:24898', 'CHEBI:32604', 'CHEBI:32605', 'CHEBI:32612', 'CHEBI:32613', 'CHEBI:58045']",ile__L,META:ILE,EX_cpd00322_e0
cpd00324_e0,ERR1620289_sub,1.5,MTTL-e0,48.107459999999996,1,0,SBO:0000247,MNXM652,LSDPWZHWYPCBBB-UHFFFAOYSA-N,cpd00324,HMDB03227,,C00409,"['CHEBI:16007', 'CHEBI:14586', 'CHEBI:25225', 'CHEBI:6814']",ch4s,META:CPD-7671,EX_cpd00324_e0
cpd00363_e0,ERR1620289_sub,0.0,Ethanol-e0,46.06844,2,0,SBO:0000247,MNXM303,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,cpd00363,HMDB00108,"['R-ALL-113748', 'R-ALL-30203']",C00469,"['CHEBI:16236', 'CHEBI:14222', 'CHEBI:23978', 'CHEBI:30878', 'CHEBI:30880', 'CHEBI:42377', 'CHEBI:44594', 'CHEBI:4879', 'CHEBI:52092']",etoh,META:ETOH,EX_cpd00363_e0
cpd00367_e0,ERR1620289_sub,1.9130434782608696,Cytidine-e0,243.21662,9,3,SBO:0000247,MNXM338,UHDGCWIWMRVCDJ-XVFCMESISA-N,cpd00367,HMDB00089,,C00475,"['CHEBI:17562', 'CHEBI:14063', 'CHEBI:23515', 'CHEBI:4053', 'CHEBI:41649', 'CHEBI:41686', 'CHEBI:41704', 'CHEBI:41709']",cytd,META:CYTIDINE,EX_cpd00367_e0
cpd00371_e0,ERR1620289_sub,0.0,Propanal-e0,58.07914,3,0,SBO:0000247,MNXM821,NBBJYMSMWIIQGU-UHFFFAOYSA-N,cpd00371,HMDB03366,,C00479,"['CHEBI:17153', 'CHEBI:14898', 'CHEBI:26281', 'CHEBI:41359', 'CHEBI:45052', 'CHEBI:8468']",ppal,META:CPD-665,EX_cpd00371_e0
cpd00380_e0,ERR1620289_sub,0.0,Itaconate-e0,128.08286,5,0,SBO:0000247,MNXM1747,LVHBHZANLOWSRM-UHFFFAOYSA-L,cpd00380,HMDB02092,,C00490,"['CHEBI:17240', 'CHEBI:14484', 'CHEBI:24932', 'CHEBI:30838', 'CHEBI:24933', 'CHEBI:6074']",itacon,META:ITACONATE,EX_cpd00380_e0
cpd00393_e0,ERR1620289_sub,1.8333333333333333,Folate-e0,439.38158000000004,19,7,SBO:0000247,MNXM617,OVBPIULPVIDEAO-LBPRGKRZSA-L,cpd00393,HMDB00121,"['R-ALL-197965', 'R-ALL-200716']",C00504,"['CHEBI:27470', 'CHEBI:24075', 'CHEBI:42610', 'CHEBI:5140', 'CHEBI:569217', 'CHEBI:62501']",fol,META:CPD-12826,EX_cpd00393_e0
cpd00412_e0,ERR1620289_sub,1.6,Deoxyuridine-e0,228.20198,9,2,SBO:0000247,MNXM492,MXHRCPNRJAMMIM-SHYZEUOFSA-N,cpd00412,HMDB00012,R-ALL-500430,C00526,"['CHEBI:16450', 'CHEBI:11398', 'CHEBI:11572', 'CHEBI:14123', 'CHEBI:19261', 'CHEBI:23640', 'CHEBI:29113', 'CHEBI:42178', 'CHEBI:4434', 'CHEBI:46165', 'CHEBI:46289', 'CHEBI:46293']",duri,META:DEOXYURIDINE,EX_cpd00412_e0
cpd00526_e0,ERR1620289_sub,1.3333333333333333,Cholate-e0,407.56346,24,0,SBO:0000247,MNXM450,BHQCQFFYRZLCQQ-OELDTZBJSA-M,cpd00526,HMDB00619,R-ALL-193451,C00695,"['CHEBI:16359', 'CHEBI:1694', 'CHEBI:20223', 'CHEBI:23210', 'CHEBI:29077', 'CHEBI:41494', 'CHEBI:29747', 'CHEBI:11895', 'CHEBI:13978', 'CHEBI:20216', 'CHEBI:23168', 'CHEBI:57748']",cholate,META:CHOLATE,EX_cpd00526_e0
cpd00588_e0,ERR1620289_sub,0.0,Sorbitol-e0,182.17176,6,0,SBO:0000247,MNXM469,FBPFZTCFMRRESA-JGWLITMVSA-N,cpd00588,HMDB00247,R-ALL-5652213,C00794,"['CHEBI:17924', 'CHEBI:12954', 'CHEBI:13020', 'CHEBI:17220', 'CHEBI:21091', 'CHEBI:4246', 'CHEBI:45559', 'CHEBI:30911', 'CHEBI:15093', 'CHEBI:26724', 'CHEBI:26726', 'CHEBI:33795', 'CHEBI:33796', 'CHEBI:9201']",sbt__D,META:SORBITOL,EX_cpd00588_e0
cpd00644_e0,ERR1620289_sub,0.0,PAN-e0,218.22704,9,1,SBO:0000247,MNXM364,GHOKWGTUZJEAQD-ZETCQYMHSA-M,cpd00644,"['HMDB00210', 'HMDB62717']","['R-ALL-196820', 'R-ALL-199192']",C00864,"['CHEBI:16454', 'CHEBI:14739', 'CHEBI:25846', 'CHEBI:29032', 'CHEBI:11008', 'CHEBI:18700', 'CHEBI:46905', 'CHEBI:18701', 'CHEBI:44679', 'CHEBI:7916']",pnto__R,META:PANTOTHENATE,EX_cpd00644_e0
cpd00794_e0,ERR1620289_sub,0.0,TRHL-e0,342.29648000000003,12,0,SBO:0000247,MNXM198,HDTRYLNUVZCQOY-LIZSDCNHSA-N,cpd00794,HMDB00975,"['R-ALL-189078', 'R-ALL-868614']",C01083,"['CHEBI:16551', 'CHEBI:10202', 'CHEBI:12281', 'CHEBI:12284', 'CHEBI:12287', 'CHEBI:15251', 'CHEBI:22365', 'CHEBI:46211', 'CHEBI:27082']",tre,"['META:CPD-15990', 'META:TREHALOSE']",EX_cpd00794_e0
cpd01217_e0,ERR1620289_sub,1.8461538461538463,Xanthosine-e0,284.22548,10,4,SBO:0000247,MNXM687,UBORTCNDUKBEOP-UUOKFMHZSA-N,cpd01217,HMDB00299,,C01762,"['CHEBI:18107', 'CHEBI:10066', 'CHEBI:15323', 'CHEBI:27327']",xtsn,META:XANTHOSINE,EX_cpd01217_e0
cpd01262_e0,ERR1620289_sub,0.0,Amylotriose-e0,504.43708,18,0,SBO:0000247,MNXM468,FYGDTMLNYKFZSV-PXXRMHSHSA-N,cpd01262,HMDB01262,R-ALL-191103,C01835,"['CHEBI:27931', 'CHEBI:25146', 'CHEBI:43937', 'CHEBI:6672', 'CHEBI:61993']",malttr,META:MALTOTRIOSE,EX_cpd01262_e0
cpd01741_e0,ERR1620289_sub,1.8461538461538463,ddca-e0,199.30982,12,0,SBO:0000247,MNXM402,POULHZVOKOAJMA-UHFFFAOYSA-M,cpd01741,HMDB00638,R-ALL-33549,C02679,"['CHEBI:18262', 'CHEBI:14187', 'CHEBI:23863', 'CHEBI:30805', 'CHEBI:23864', 'CHEBI:23865', 'CHEBI:41882', 'CHEBI:4680']",,META:DODECANOATE,EX_cpd01741_e0
cpd10515_e0,ERR1620289_sub,0.0,Fe2+-e0,55.845,0,0,SBO:0000247,MNXM111,CWYNVVGOOAEACU-UHFFFAOYSA-N,cpd10515,HMDB00692,,C14818,"['CHEBI:29033', 'CHEBI:13319', 'CHEBI:13321', 'CHEBI:21129', 'CHEBI:24876', 'CHEBI:34754', 'CHEBI:49599']",fe2,META:FE+2,EX_cpd10515_e0
cpd10516_e0,ERR1620289_sub,0.0,fe3-e0,55.845,0,0,SBO:0000247,MNXM196,VTLYFUHAOXGGBS-UHFFFAOYSA-N,cpd10516,HMDB12943,"['R-ALL-111736', 'R-ALL-912516', 'R-ALL-912519', 'R-ALL-917943', 'R-ALL-917966']",C14819,"['CHEBI:29034', 'CHEBI:13320', 'CHEBI:21130', 'CHEBI:24877', 'CHEBI:34755', 'CHEBI:49595']",fe3,META:FE+3,EX_cpd10516_e0
cpd11451_e0,ERR1620289_sub,1.7777777777777777,mql7-e0,651.01504,46,0,SBO:0000247,MNXM89812,PTWSIIUEOFZCHW-NTCAYCPXSA-N,cpd11451,,,,,,,EX_cpd11451_e0
