metabolite,sample_id,MES,name,molecular_weight,C_number,N_number,sbo,metanetx.chemical,inchikey,seed.compound,hmdb,reactome,kegg.compound,chebi,bigg.metabolite,biocyc,reaction
cpd00025_e0,ERR1620289_sub,0.0,H2O2-e0,34.01468,0,0,SBO:0000247,MNXM22,MHAJPDPJQMAIIY-UHFFFAOYSA-N,cpd00025,"['HMDB03125', 'HMDB06491']","['R-ALL-113575', 'R-ALL-1614617', 'R-ALL-189481', 'R-ALL-29408', 'R-ALL-351629']",C00027,"['CHEBI:16240', 'CHEBI:13354', 'CHEBI:13355', 'CHEBI:24637', 'CHEBI:44812', 'CHEBI:5586', 'CHEBI:25940', 'CHEBI:29192', 'CHEBI:44785', 'CHEBI:29370', 'CHEBI:44782']",h2o2,META:HYDROGEN-PEROXIDE,EX_cpd00025_e0
cpd00027_e0,ERR1620289_sub,1.7142857142857142,D-Glucose-e0,180.15588,6,0,SBO:0000247,MNXM41,WQZGKKKJIJFFOK-GASJEMHNSA-N,cpd00027,"['HMDB00122', 'HMDB06564']",,C00031,"['CHEBI:17634', 'CHEBI:12965', 'CHEBI:20999', 'CHEBI:4167']",glc__D,META:Glucopyranose,EX_cpd00027_e0
cpd00028_e0,ERR1620289_sub,1.9090909090909092,Heme-e0,614.4714,34,4,SBO:0000247,MNXM78362,KABFMIBPWCXCRK-BDOQQTMTSA-N,cpd00028,,,C00032,CHEBI:60344,pheme,META:PROTOHEME,EX_cpd00028_e0
cpd00029_e0,ERR1620289_sub,0.0,Acetate-e0,59.044019999999996,2,0,SBO:0000247,MNXM26,QTBSBXVTEAMEQO-UHFFFAOYSA-M,cpd00029,HMDB00042,"['R-ALL-113539', 'R-ALL-1524044', 'R-ALL-2022890', 'R-ALL-29416', 'R-ALL-390305']",C00033,"['CHEBI:15366', 'CHEBI:22169', 'CHEBI:2387', 'CHEBI:40486', 'CHEBI:30089', 'CHEBI:13704', 'CHEBI:22165', 'CHEBI:40480']",ac,META:ACET,EX_cpd00029_e0
cpd00030_e0,ERR1620289_sub,0.0,Mn2+-e0,54.938049,0,0,SBO:0000247,MNXM2255,WAEMQWOKJMHJLA-UHFFFAOYSA-N,cpd00030,HMDB01333,"['R-ALL-1981162', 'R-ALL-29418']",C19610,"['CHEBI:29035', 'CHEBI:21435', 'CHEBI:25156', 'CHEBI:49749']",mn2,META:MN+2,EX_cpd00030_e0
cpd00033_e0,ERR1620289_sub,3.68,Glycine-e0,75.0666,2,1,SBO:0000247,MNXM29,DHMQDGOQFOQNFH-UHFFFAOYSA-N,cpd00033,HMDB00123,"['R-ALL-113545', 'R-ALL-159549', 'R-ALL-193446', 'R-ALL-266029', 'R-ALL-29424']",C00037,"['CHEBI:15428', 'CHEBI:10792', 'CHEBI:14344', 'CHEBI:24368', 'CHEBI:42964', 'CHEBI:5460', 'CHEBI:32507', 'CHEBI:32508', 'CHEBI:57305']",gly,META:GLY,EX_cpd00033_e0
cpd00034_e0,ERR1620289_sub,0.0,Zn2+-e0,65.409,0,0,SBO:0000247,MNXM149,PTFCDOFLOPIGGS-UHFFFAOYSA-N,cpd00034,HMDB01303,"['R-ALL-158417', 'R-ALL-216667', 'R-ALL-216785', 'R-ALL-29426', 'R-ALL-435350', 'R-ALL-437093', 'R-ALL-442320']",C00038,"['CHEBI:29105', 'CHEBI:10113', 'CHEBI:27368', 'CHEBI:49972', 'CHEBI:49982']","['HC02172', 'zn2']",META:ZN+2,EX_cpd00034_e0
cpd00035_e0,ERR1620289_sub,3.111111111111111,L-Alanine-e0,89.09318,3,1,SBO:0000247,MNXM32,QNAYBMKLOCPYGJ-REOHCLBHSA-N,cpd00035,"['HMDB00161', 'HMDB62251']","['R-ALL-29432', 'R-ALL-352036', 'R-ALL-379697', 'R-ALL-389664']","['C00041', 'C01401']","['CHEBI:16449', 'CHEBI:13748', 'CHEBI:22277', 'CHEBI:2539', 'CHEBI:16977', 'CHEBI:13069', 'CHEBI:21216', 'CHEBI:40734', 'CHEBI:40735', 'CHEBI:46308', 'CHEBI:6171', 'CHEBI:32431', 'CHEBI:32432', 'CHEBI:32439', 'CHEBI:32440', 'CHEBI:57972', 'CHEBI:66916', 'CHEBI:76050']",ala__L,META:L-ALPHA-ALANINE,EX_cpd00035_e0
cpd00036_e0,ERR1620289_sub,3.619047619047619,Succinate-e0,116.07216,4,0,SBO:0000247,MNXM25,KDYFGRWQOYBRFD-UHFFFAOYSA-L,cpd00036,HMDB00254,"['R-ALL-113536', 'R-ALL-159939', 'R-ALL-29434', 'R-ALL-389583', 'R-ALL-433123', 'R-ALL-5278787']",C00042,"['CHEBI:15741', 'CHEBI:22943', 'CHEBI:26807', 'CHEBI:45639', 'CHEBI:9304', 'CHEBI:30031', 'CHEBI:15125', 'CHEBI:22941', 'CHEBI:26803', 'CHEBI:30779', 'CHEBI:90372', 'CHEBI:132287']",succ,META:SUC,EX_cpd00036_e0
cpd00039_e0,ERR1620289_sub,0.0,L-Lysine-e0,147.1955,6,2,SBO:0000247,MNXM78,KDXKERNSBIXSRK-YFKPBYRVSA-O,cpd00039,"['HMDB00182', 'HMDB03405', 'HMDB62809']","['R-ALL-29444', 'R-ALL-351979', 'R-ALL-351991']","['C00047', 'C16440']","['CHEBI:133538', 'CHEBI:18019', 'CHEBI:13135', 'CHEBI:21351', 'CHEBI:43950', 'CHEBI:6264', 'CHEBI:25094', 'CHEBI:32550', 'CHEBI:32551', 'CHEBI:32552', 'CHEBI:32563', 'CHEBI:32564', 'CHEBI:32565']",lys__L,META:LYS,EX_cpd00039_e0
cpd00041_e0,ERR1620289_sub,1.3333333333333333,L-Aspartate-e0,132.09474,4,1,SBO:0000247,MNXM42,CKLJMWTZIZZHCS-REOHCLBHSA-M,cpd00041,"['HMDB00191', 'HMDB62186', 'HMDB62501']","['R-ALL-113553', 'R-ALL-29448']","['C00049', 'C16433']","['CHEBI:132943', 'CHEBI:17053', 'CHEBI:21247', 'CHEBI:40853', 'CHEBI:40900', 'CHEBI:40913', 'CHEBI:40942', 'CHEBI:6193', 'CHEBI:22660', 'CHEBI:29991', 'CHEBI:13085', 'CHEBI:21244', 'CHEBI:29993', 'CHEBI:29995', 'CHEBI:35391', 'CHEBI:22659', 'CHEBI:29992']",asp__L,META:L-ASPARTATE,EX_cpd00041_e0
cpd00047_e0,ERR1620289_sub,0.0,Formate-e0,45.01744,1,0,SBO:0000247,MNXM39,BDAGIHXWWSANSR-UHFFFAOYSA-M,cpd00047,HMDB00142,"['R-ALL-194712', 'R-ALL-29460', 'R-ALL-389585', 'R-ALL-6801451']",C00058,"['CHEBI:15740', 'CHEBI:14276', 'CHEBI:24081', 'CHEBI:30751', 'CHEBI:24082', 'CHEBI:42460', 'CHEBI:5145']",for,"['META:CARBOXYL-GROUP', 'META:CPD-9845', 'META:CPD1G-1532', 'META:CPD1G-1533', 'META:CPD1G-1534', 'META:CPD1G-1535', 'META:FORMATE']",EX_cpd00047_e0
cpd00048_e0,ERR1620289_sub,0.0,Sulfate-e0,96.0626,0,0,SBO:0000247,MNXM58,QAOWNCQODCNURD-UHFFFAOYSA-L,cpd00048,HMDB01448,"['R-ALL-1606845', 'R-ALL-1609649', 'R-ALL-1614584', 'R-ALL-174375', 'R-ALL-427648']",C00059,"['CHEBI:16189', 'CHEBI:15135', 'CHEBI:45687', 'CHEBI:9335', 'CHEBI:26836', 'CHEBI:45696', 'CHEBI:29199', 'CHEBI:45693']",so4,"['META:HSO4', 'META:SULFATE']",EX_cpd00048_e0
cpd00051_e0,ERR1620289_sub,0.0,L-Arginine-e0,175.2089,6,4,SBO:0000247,MNXM70,ODKSFYDXXFIFQN-BYPYZUCNSA-O,cpd00051,"['HMDB00517', 'HMDB62762']","['R-ALL-113530', 'R-ALL-29468', 'R-ALL-351977', 'R-ALL-374064']","['C00062', 'C02385']","['CHEBI:16467', 'CHEBI:13077', 'CHEBI:21235', 'CHEBI:42927', 'CHEBI:6185', 'CHEBI:29016', 'CHEBI:22616', 'CHEBI:2643', 'CHEBI:32681', 'CHEBI:32682', 'CHEBI:133495', 'CHEBI:32683', 'CHEBI:32695', 'CHEBI:32696', 'CHEBI:32697']",arg__L,META:ARG,EX_cpd00051_e0
cpd00053_e0,ERR1620289_sub,3.466666666666667,L-Glutamine-e0,146.1445,5,2,SBO:0000247,MNXM37,ZDXPYRJPNDTMRX-VKHMYHEASA-N,cpd00053,HMDB00641,"['R-ALL-113522', 'R-ALL-212615', 'R-ALL-29472']","['C00064', 'C00303']","['CHEBI:18050', 'CHEBI:13110', 'CHEBI:21308', 'CHEBI:42812', 'CHEBI:42814', 'CHEBI:42899', 'CHEBI:42943', 'CHEBI:6227', 'CHEBI:28300', 'CHEBI:24316', 'CHEBI:5432', 'CHEBI:32665', 'CHEBI:32666', 'CHEBI:32678', 'CHEBI:32679', 'CHEBI:58359']",gln__L,META:GLN,EX_cpd00053_e0
cpd00054_e0,ERR1620289_sub,0.0,L-Serine,105.09258,3,1,SBO:0000247,MNXM53,MTCFGRXMJLQNBG-REOHCLBHSA-N,cpd00054,"['HMDB00187', 'HMDB00589', 'HMDB62263']","['R-ALL-200736', 'R-ALL-352002', 'R-ALL-379732', 'R-ALL-8932979']","['C00065', 'C00716']","['CHEBI:17115', 'CHEBI:13167', 'CHEBI:21387', 'CHEBI:45440', 'CHEBI:45451', 'CHEBI:45590', 'CHEBI:45597', 'CHEBI:45677', 'CHEBI:6301', 'CHEBI:17822', 'CHEBI:15081', 'CHEBI:26648', 'CHEBI:9116', 'CHEBI:32836', 'CHEBI:32837', 'CHEBI:32845', 'CHEBI:32846', 'CHEBI:33384', 'CHEBI:35243']",ser__L,"['META:SER', 'META:Serines']",EX_cpd00054_e0
cpd00058_e0,ERR1620289_sub,0.0,Cu2+-e0,63.546,0,0,SBO:0000247,MNXM632,JPVYNHNXODAKFH-UHFFFAOYSA-N,cpd00058,HMDB00657,"['R-ALL-209799', 'R-ALL-437295', 'R-ALL-936901']",C00070,"['CHEBI:29036', 'CHEBI:20882', 'CHEBI:23380', 'CHEBI:49550']",cu2,META:CU+2,EX_cpd00058_e0
cpd00060_e0,ERR1620289_sub,0.0,L-Methionine-e0,149.21134,5,1,SBO:0000247,MNXM61,FFEARJCKVFRZRR-BYPYZUCNSA-N,cpd00060,"['HMDB00696', 'HMDB33951']","['R-ALL-1130765', 'R-ALL-174390', 'R-ALL-379705']","['C00073', 'C01733']","['CHEBI:16643', 'CHEBI:13141', 'CHEBI:21360', 'CHEBI:43990', 'CHEBI:6271', 'CHEBI:16811', 'CHEBI:14590', 'CHEBI:25229', 'CHEBI:6829', 'CHEBI:32631', 'CHEBI:32632', 'CHEBI:32644', 'CHEBI:32646', 'CHEBI:57844', 'CHEBI:64558']",met__L,META:MET,EX_cpd00060_e0
cpd00063_e0,ERR1620289_sub,0.0,Ca2+-e0,40.078,0,0,SBO:0000247,MNXM128,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,cpd00063,HMDB00464,"['R-ALL-111875', 'R-ALL-139827', 'R-ALL-1606834', 'R-ALL-167012', 'R-ALL-2855229', 'R-ALL-74016', 'R-ALL-74112']",C00076,"['CHEBI:29108', 'CHEBI:22988', 'CHEBI:3308', 'CHEBI:48760', 'CHEBI:39123']",ca2,META:CA+2,EX_cpd00063_e0
cpd00064_e0,ERR1620289_sub,7.5,Ornithine-e0,133.16892,5,2,SBO:0000247,MNXM89689,AHLPHDHHMVZTML-BYPYZUCNSA-O,cpd00064,"['HMDB00214', 'HMDB00818', 'HMDB04984', 'HMDB32455', 'HMDB62654', 'HMDB62718']","['R-ALL-113585', 'R-ALL-113586', 'R-ALL-29498']","['C00077', 'C01602']","['CHEBI:15729', 'CHEBI:13148', 'CHEBI:21367', 'CHEBI:6280', 'CHEBI:18257', 'CHEBI:7784', 'CHEBI:32964', 'CHEBI:11448', 'CHEBI:19370', 'CHEBI:44667', 'CHEBI:46911', 'CHEBI:46912', 'CHEBI:46913', 'CHEBI:46914']","['orn', 'orn__L']",META:L-ORNITHINE,EX_cpd00064_e0
cpd00065_e0,ERR1620289_sub,0.0,L-Tryptophan-e0,204.22518000000002,11,2,SBO:0000247,MNXM94,QIVBCDIJIAJPQS-VIFPVBQESA-N,cpd00065,"['HMDB00929', 'HMDB30396']","['R-ALL-29500', 'R-ALL-352006', 'R-ALL-379709']","['C00078', 'C00806']","['CHEBI:16828', 'CHEBI:13178', 'CHEBI:184633', 'CHEBI:21407', 'CHEBI:45988', 'CHEBI:46086', 'CHEBI:46125', 'CHEBI:46225', 'CHEBI:6310', 'CHEBI:27897', 'CHEBI:27163', 'CHEBI:9769', 'CHEBI:32702', 'CHEBI:32704', 'CHEBI:32727', 'CHEBI:32728', 'CHEBI:57912', 'CHEBI:64554']",trp__L,META:TRP,EX_cpd00065_e0
cpd00066_e0,ERR1620289_sub,0.0,L-Phenylalanine-e0,165.18914,9,1,SBO:0000247,MNXM97,COLNVLDHVKWLRT-QMMMGPOBSA-N,cpd00066,"['HMDB00159', 'HMDB00612']","['R-ALL-29502', 'R-ALL-351993', 'R-ALL-379701']","['C00079', 'C02057']","['CHEBI:17295', 'CHEBI:13151', 'CHEBI:21370', 'CHEBI:44851', 'CHEBI:44885', 'CHEBI:45079', 'CHEBI:6282', 'CHEBI:28044', 'CHEBI:25984', 'CHEBI:8089', 'CHEBI:32486', 'CHEBI:32487', 'CHEBI:32504', 'CHEBI:32505', 'CHEBI:58095', 'CHEBI:76052']",phe__L,META:PHE,EX_cpd00066_e0
cpd00067_e0,ERR1620289_sub,0.0,H+-e0,1.00794,0,0,SBO:0000247,MNXM1,GPRLSGONYQIRFK-UHFFFAOYSA-N,cpd00067,HMDB59597,"['R-ALL-1132304', 'R-ALL-113529', 'R-ALL-1470067', 'R-ALL-156540', 'R-ALL-163953', 'R-ALL-193465', 'R-ALL-194688', 'R-ALL-2000349', 'R-ALL-2872447', 'R-ALL-351626', 'R-ALL-372511', 'R-ALL-374900', 'R-ALL-425969', 'R-ALL-425978', 'R-ALL-425999', 'R-ALL-427899', 'R-ALL-428040', 'R-ALL-428548', 'R-ALL-5668577', 'R-ALL-70106', 'R-ALL-74722']",C00080,"['CHEBI:15378', 'CHEBI:10744', 'CHEBI:13357', 'CHEBI:5584']",h,META:PROTON,EX_cpd00067_e0
cpd00069_e0,ERR1620289_sub,0.0,L-Tyrosine-e0,181.18854,9,1,SBO:0000247,MNXM76,OUYCCCASQSFEME-QMMMGPOBSA-N,cpd00069,"['HMDB00158', 'HMDB00647']","['R-ALL-29506', 'R-ALL-352030', 'R-ALL-379710', 'R-ALL-5668567']","['C00082', 'C01536']","['CHEBI:17895', 'CHEBI:13181', 'CHEBI:21411', 'CHEBI:46070', 'CHEBI:46161', 'CHEBI:6313', 'CHEBI:18186', 'CHEBI:15277', 'CHEBI:27176', 'CHEBI:9800', 'CHEBI:32760', 'CHEBI:32761', 'CHEBI:32762', 'CHEBI:32784', 'CHEBI:32785', 'CHEBI:32786', 'CHEBI:58315']",tyr__L,META:TYR,EX_cpd00069_e0
cpd00071_e0,ERR1620289_sub,1.6,Acetaldehyde-e0,44.05256,2,0,SBO:0000247,MNXM75,IKHGUXGNUITLKF-UHFFFAOYSA-N,cpd00071,HMDB00990,"['R-ALL-113532', 'R-ALL-113681', 'R-ALL-113745', 'R-ALL-29510']",C00084,"['CHEBI:15343', 'CHEBI:13703', 'CHEBI:22158', 'CHEBI:2383', 'CHEBI:40533']",acald,META:ACETALD,EX_cpd00071_e0
cpd00073_e0,ERR1620289_sub,0.0,Urea-e0,60.055260000000004,1,2,SBO:0000247,MNXM117,XSQUKJJJFZCRTK-UHFFFAOYSA-N,cpd00073,HMDB00294,"['R-ALL-29514', 'R-ALL-374061', 'R-ALL-432019']",C00086,"['CHEBI:134711', 'CHEBI:16199', 'CHEBI:15292', 'CHEBI:27218', 'CHEBI:46379', 'CHEBI:9888', 'CHEBI:32285', 'CHEBI:48376']",urea,META:UREA,EX_cpd00073_e0
cpd00076_e0,ERR1620289_sub,0.0,Sucrose-e0,342.29648000000003,12,0,SBO:0000247,MNXM167,CZMRCDWAGMRECN-UGDNZRGBSA-N,cpd00076,HMDB00258,R-ALL-188980,C00089,"['CHEBI:17992', 'CHEBI:15128', 'CHEBI:26812', 'CHEBI:45795', 'CHEBI:9314']",sucr,META:SUCROSE,EX_cpd00076_e0
cpd00080_e0,ERR1620289_sub,1.6666666666666667,Glycerol-3-phosphate-e0,170.057841,3,0,SBO:0000247,MNXM66,AWUCVROLDVIAJX-GSVOUGTGSA-L,cpd00080,"['HMDB00126', 'HMDB02722']","['R-ALL-188458', 'R-ALL-76114']",C00093,"['CHEBI:15978', 'CHEBI:10648', 'CHEBI:12843', 'CHEBI:12848', 'CHEBI:26705', 'CHEBI:42793', 'CHEBI:57597']",glyc3p,META:GLYCEROL-3P,EX_cpd00080_e0
cpd00082_e0,ERR1620289_sub,3.3333333333333335,D-Fructose-e0,180.15588,6,0,SBO:0000247,MNXM175,RFSUNEUAIZKAJO-VRPWFDPXSA-N,cpd00082,HMDB62538,"['R-ALL-189049', 'R-ALL-29532']","['C00095', 'C01496', 'C05003', 'C10906']","['CHEBI:15824', 'CHEBI:12923', 'CHEBI:20929', 'CHEBI:4118', 'CHEBI:28757', 'CHEBI:24104', 'CHEBI:24110', 'CHEBI:5172', 'CHEBI:37714', 'CHEBI:37721', 'CHEBI:48095', 'CHEBI:4119', 'CHEBI:47424']",fru,"['META:CPD-15382', 'META:D-Fructopyranose', 'META:FRU', 'META:Fructofuranose']",EX_cpd00082_e0
cpd00084_e0,ERR1620289_sub,0.0,L-Cysteine-e0,121.15818,3,1,SBO:0000247,MNXM738068,XUJNEKJLAYXESH-REOHCLBHSA-N,cpd00084,HMDB00574,"['R-ALL-111707', 'R-ALL-352016', 'R-ALL-379721', 'R-ALL-5668576']","['C00097', 'C00736']","['CHEBI:15356', 'CHEBI:14061', 'CHEBI:23508', 'CHEBI:4050', 'CHEBI:17561', 'CHEBI:13095', 'CHEBI:21261', 'CHEBI:41227', 'CHEBI:41700', 'CHEBI:41768', 'CHEBI:41781', 'CHEBI:41811', 'CHEBI:6207', 'CHEBI:32442', 'CHEBI:32443', 'CHEBI:32445', 'CHEBI:32456', 'CHEBI:32457', 'CHEBI:32458', 'CHEBI:35235', 'CHEBI:35237']",cys__L,META:CYS,EX_cpd00084_e0
cpd00092_e0,ERR1620289_sub,3.4285714285714284,Uracil-e0,112.08676,4,2,SBO:0000247,MNXM158,ISAKRJDGNUQOIC-UHFFFAOYSA-N,cpd00092,HMDB00300,R-ALL-83962,C00106,"['CHEBI:17568', 'CHEBI:15288', 'CHEBI:27210', 'CHEBI:46375', 'CHEBI:9882', 'CHEBI:43254']",ura,META:URACIL,EX_cpd00092_e0
cpd00099_e0,ERR1620289_sub,0.0,Cl--e0,35.453,0,0,SBO:0000247,MNXM43,VEXZGXHMUGYJMC-UHFFFAOYSA-M,cpd00099,"['HMDB00492', 'HMDB02073', 'HMDB02306', 'HMDB02162']","['R-ALL-188972', 'R-ALL-2730999', 'R-ALL-2731008', 'R-ALL-2731020', 'R-ALL-29572', 'R-ALL-3301973', 'R-ALL-352022']","['C00698', 'C01327']","['CHEBI:17883', 'CHEBI:13364', 'CHEBI:24635', 'CHEBI:5590', 'CHEBI:17996', 'CHEBI:13291', 'CHEBI:13970', 'CHEBI:3616', 'CHEBI:3731', 'CHEBI:48804', 'CHEBI:50315']",cl,"['META:CL-', 'META:HCL']",EX_cpd00099_e0
