taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00066_e0,-0.0021110031074130886,0.0019664113893562703,cpd00066_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd01981_e0,4.737397979018185e-05,0.0019664113893562703,cpd01981_e0,export
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00396_e0,-0.001119583857189529,0.0019664113893562703,cpd00396_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd11606_e0,-0.0846761790840343,0.0019664113893562703,cpd11606_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00254_e0,-8.755765634052269e-05,0.0019664113893562703,cpd00254_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00065_e0,-0.000647694135229015,0.0019664113893562703,cpd00065_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00017_e0,-0.005219171040853963,0.0019664113893562703,cpd00017_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd11451_e0,0.0846761790840343,0.0019664113893562703,cpd11451_e0,export
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00141_e0,9.47479595803637e-05,0.0019664113893562703,cpd00141_e0,export
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00205_e0,-8.755765634052269e-05,0.0019664113893562703,cpd00205_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00161_e0,-0.003186921773269132,0.0019664113893562703,cpd00161_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00067_e0,-0.04783988926094651,0.0019664113893562703,cpd00067_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00020_e0,-0.2999615293328814,0.0019664113893562703,cpd00020_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00132_e0,-0.00274670290680453,0.0019664113893562703,cpd00132_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00048_e0,-8.755765634052269e-05,0.0019664113893562703,cpd00048_e0,import
