metabolite,name,molecular_weight,C_number,N_number,sbo,metanetx.chemical,inchikey,seed.compound,hmdb,reactome,kegg.compound,chebi,bigg.metabolite,biocyc,reaction,sample_id
cpd03724_e0,Ferrichrome-e0,740.52048,27,9,SBO:0000247,MNXM2825,GGUNGDGGXMHBMJ-OCIDDWSYSA-N,cpd03724,,,C06228,CHEBI:5019,fecrm,META:CPD0-2241,EX_cpd03724_e0,ERR1620289_sub
cpd00024_e0,2-Oxoglutarate-e0,144.08226,5,0,SBO:0000247,MNXM20,KPGXRSRHYNQIFN-UHFFFAOYSA-L,cpd00024,"['HMDB00208', 'HMDB02812', 'HMDB62781']","['R-ALL-113594', 'R-ALL-113671', 'R-ALL-29406', 'R-ALL-389537', 'R-ALL-5278317', 'R-ALL-561075']",C00026,"['CHEBI:16810', 'CHEBI:11638', 'CHEBI:19748', 'CHEBI:30915', 'CHEBI:1253', 'CHEBI:19749', 'CHEBI:40661', 'CHEBI:30916']",akg,META:2-KETOGLUTARATE,EX_cpd00024_e0,ERR1620289_sub
cpd00870_e0,gamma-butyrobetaine-e0,145.1995,7,1,SBO:0000247,MNXM626,JHPNVNIEXXLNTR-UHFFFAOYSA-N,cpd00870,"['HMDB01161', 'HMDB06831']",R-ALL-31369,C01181,"['CHEBI:16244', 'CHEBI:12047', 'CHEBI:20484', 'CHEBI:1941']","['4tmeabutn', 'gbbtn']",META:GAMMA-BUTYROBETAINE,EX_cpd00870_e0,ERR1620289_sub
cpd00609_e0,D-Glucarate-e0,208.12292,6,0,SBO:0000247,MNXM744,DSLZVSRJTYRBFB-LLEIAEIESA-L,cpd00609,"['HMDB00663', 'HMDB29881']",,C00818,"['CHEBI:16002', 'CHEBI:20982', 'CHEBI:4155', 'CHEBI:30612', 'CHEBI:12953', 'CHEBI:20980', 'CHEBI:42731', 'CHEBI:33801']",glcr,META:D-GLUCARATE,EX_cpd00609_e0,ERR1620289_sub
cpd00382_e0,Melitose-e0,504.43708,18,0,SBO:0000247,MNXM621,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,cpd00382,HMDB03213,,C00492,"['CHEBI:16634', 'CHEBI:15015', 'CHEBI:26521', 'CHEBI:49843', 'CHEBI:8771']",raffin,META:CPD-1099,EX_cpd00382_e0,ERR1620289_sub
cpd01092_e0,Allantoin-e0,157.1075,4,4,SBO:0000247,MNXM612,POJWUDADGALRAB-UHFFFAOYSA-N,cpd01092,HMDB00462,,C01551,"['CHEBI:15676', 'CHEBI:13761', 'CHEBI:22354', 'CHEBI:2594', 'CHEBI:74345']",alltn,META:ALLANTOIN,EX_cpd01092_e0,ERR1620289_sub
cpd00366_e0,Ribitol-e0,152.14578,5,0,SBO:0000247,MNXM1820,HEBKCHPVOIAQTA-ZXFHETKHSA-N,cpd00366,HMDB00508,,C00474,"['CHEBI:15963', 'CHEBI:15043', 'CHEBI:21074', 'CHEBI:26552', 'CHEBI:27854', 'CHEBI:4230', 'CHEBI:57591', 'CHEBI:8841']",rbt,META:RIBITOL,EX_cpd00366_e0,ERR1620289_sub
cpd00059_e0,L-Ascorbate-e0,175.11617999999999,6,0,SBO:0000247,MNXM129,CIWBSHSKHKDKBQ-JLAZNSOCSA-M,cpd00059,"['HMDB00044', 'HMDB14273', 'HMDB29945']","['R-ALL-198816', 'R-ALL-198836', 'R-ALL-351595']","['C00072', 'C20364']","['CHEBI:29073', 'CHEBI:17208', 'CHEBI:21240', 'CHEBI:2868', 'CHEBI:40892', 'CHEBI:43473', 'CHEBI:38290', 'CHEBI:13082', 'CHEBI:13861']",ascb__L,META:ASCORBATE,EX_cpd00059_e0,ERR1620289_sub
cpd00489_e0,4-Hydroxyphenylacetate-e0,151.13938,8,0,SBO:0000247,MNXM485,XQXPVVBIMDBYFF-UHFFFAOYSA-M,cpd00489,HMDB00020,,C00642,"['CHEBI:18101', 'CHEBI:12014', 'CHEBI:1874', 'CHEBI:20419', 'CHEBI:40091', 'CHEBI:48999']",4hoxpac,META:4-HYDROXYPHENYLACETATE,EX_cpd00489_e0,ERR1620289_sub
cpd00133_e0,Nicotinamide-e0,122.12464,6,2,SBO:0000247,MNXM216,DFPAKSUCGFBDDF-UHFFFAOYSA-N,cpd00133,HMDB01406,"['R-ALL-197277', 'R-ALL-8870343']",C00153,"['CHEBI:17154', 'CHEBI:14645', 'CHEBI:25521', 'CHEBI:44258', 'CHEBI:7556']",ncam,META:NIACINAMIDE,EX_cpd00133_e0,ERR1620289_sub
cpd00136_e0,4-Hydroxybenzoate-e0,137.1128,7,0,SBO:0000247,MNXM164,FJKROLUGYXJWQN-UHFFFAOYSA-M,cpd00136,HMDB00500,R-ALL-2162213,C00156,"['CHEBI:17879', 'CHEBI:12003', 'CHEBI:20397', 'CHEBI:30763', 'CHEBI:1858', 'CHEBI:20398', 'CHEBI:44949']",4hbz,META:4-hydroxybenzoate,EX_cpd00136_e0,ERR1620289_sub
cpd02829_e0,"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate-e0",405.54758,24,0,SBO:0000247,MNXM3493,RHCPKKNRWFXMAT-RRWYKFPJSA-M,cpd02829,HMDB00391,,C04643,"['CHEBI:11893', 'CHEBI:16390', 'CHEBI:1688', 'CHEBI:20209', 'CHEBI:20210']",,META:CHOLANATE2,EX_cpd02829_e0,ERR1620289_sub
cpd35610_e0,3alpha-hydroxy-7-oxo-5beta-cholan-24-oate-e0,389.54818,24,0,SBO:0000247,,GC|EQ,cpd35610,,,,,,,EX_cpd35610_e0,ERR1620289_sub
cpd22614_e0,sulfoquinovose-e0,243.21174,6,0,SBO:0000247,MNXM83070,QFBWOLBPVQLZEH-GASJEMHNSA-M,cpd22614,,,C20829,CHEBI:142956,,META:CPD-21685,EX_cpd22614_e0,ERR1620289_sub
cpd31356_e0,"(S)-2,3-Dihydroxypropane-1-sulfonate-e0",155.14968,3,0,SBO:0000247,MNXM13761,YPFUJZAAZJXMIP-UHFFFAOYSA-M,cpd31356,,,C20797,CHEBI:77138,,META:CPD-12693,EX_cpd31356_e0,ERR1620289_sub
cpd00155_e0,glycogen-e0,828.71828,30,0,SBO:0000247,MNXM55375,,cpd00155,HMDB00757,,C00182,"['CHEBI:24384', 'CHEBI:28087', 'CHEBI:24379', 'CHEBI:5466']",glycogen,META:Glycogens,EX_cpd00155_e0,ERR1620289_sub
cpd27289_e0,indole-3-propionate-e0,188.20260000000002,11,1,SBO:0000247,MNXM57347,GOLXRNDWAUTYKT-UHFFFAOYSA-M,cpd27289,HMDB02302,,,"['CHEBI:43580', 'CHEBI:82916']",,META:INDOLE-PROPIONATE,EX_cpd27289_e0,ERR1620289_sub
cpd03343_e0,Phenylpropanoate-e0,149.16656,9,0,SBO:0000247,MNXM1403,XMIIGOLPHOKFCH-UHFFFAOYSA-M,cpd03343,HMDB00764,,C05629,"['CHEBI:28631', 'CHEBI:26002', 'CHEBI:26005', 'CHEBI:43112', 'CHEBI:8103', 'CHEBI:51057', 'CHEBI:20186', 'CHEBI:20187']",pppn,META:3-PHENYLPROPIONATE,EX_cpd03343_e0,ERR1620289_sub
cpd01202_e0,Phloretate-e0,165.16595999999998,9,0,SBO:0000247,MNXM4778,NMHMNPHRMNGLLB-UHFFFAOYSA-M,cpd01202,"['HMDB02199', 'HMDB61145']",,C01744,"['CHEBI:16331', 'CHEBI:14786', 'CHEBI:19933', 'CHEBI:32980', 'CHEBI:19934', 'CHEBI:43113', 'CHEBI:8110']",,META:PHLORETATE,EX_cpd01202_e0,ERR1620289_sub
cpd00949_e0,"3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate-e0",405.54758,24,0,SBO:0000247,MNXM2191,MIHNUBCEFJLAGN-DMMBONCOSA-M,cpd00949,HMDB00400,,C01292,"['CHEBI:11901', 'CHEBI:57725', 'CHEBI:16312', 'CHEBI:1703', 'CHEBI:20227', 'CHEBI:20228']",,META:CPD-345,EX_cpd00949_e0,ERR1620289_sub
