taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd01262_e0,0.18250993093624004,0.08540578728037343,cpd01262_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00211_e0,-0.2001663525859932,0.08540578728037343,cpd00211_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd10515_e0,-0.012878834396863567,0.08540578728037343,cpd10515_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00080_e0,0.008525166407758134,0.08540578728037343,cpd00080_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00066_e0,-0.21202454898994155,0.08540578728037343,cpd00066_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00305_e0,-0.004084734316658012,0.08540578728037343,cpd00305_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00107_e0,-0.6159548276927109,0.08540578728037343,cpd00107_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00003_e0,-0.008317444840767019,0.08540578728037343,cpd00003_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00393_e0,0.03662917975919233,0.08540578728037343,cpd00393_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00033_e0,-0.6051965258052991,0.08540578728037343,cpd00033_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd11640_e0,7.808070651612201,0.08540578728037343,cpd11640_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00149_e0,-0.008794100080205555,0.08540578728037343,cpd00149_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00006_e0,0.00014797620745210516,0.08540578728037343,cpd00006_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00644_e0,-0.056647251376377585,0.08540578728037343,cpd00644_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00039_e0,-0.3927272896063696,0.08540578728037343,cpd00039_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00029_e0,27.955309800625972,0.08540578728037343,cpd00029_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00184_e0,0.0009493840254127582,0.08540578728037343,cpd00184_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00010_e0,0.04847778274306158,0.08540578728037343,cpd00010_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00065_e0,-0.0650529866219138,0.08540578728037343,cpd00065_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00122_e0,-0.393107218209794,0.08540578728037343,cpd00122_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00311_e0,-0.2938149643882665,0.08540578728037343,cpd00311_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00034_e0,-0.008794100080205555,0.08540578728037343,cpd00034_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00099_e0,-0.008794100080205555,0.08540578728037343,cpd00099_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00129_e0,-0.2529838368629985,0.08540578728037343,cpd00129_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00060_e0,-0.16362979791668167,0.08540578728037343,cpd00060_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00092_e0,-0.04297777002784929,0.08540578728037343,cpd00092_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00367_e0,-0.043234708327951225,0.08540578728037343,cpd00367_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00307_e0,-0.2922561310000733,0.08540578728037343,cpd00307_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620286_sub,1e-06,EX_cpd00117_e0,-0.033272226039607215,0.08540578728037343,cpd00117_e0,import
