taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00028_e0,-5.0980089747731365e-05,0.015006258292573169,cpd00028_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd01080_e0,-0.001252427946079399,0.015006258292573169,cpd01080_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00034_e0,-0.00010975597837810268,0.015006258292573169,cpd00034_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00033_e0,-0.008699527515916015,0.015006258292573169,cpd00033_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00220_e0,-0.00010196017949546269,0.015006258292573169,cpd00220_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00065_e0,-0.0008119027675358094,0.015006258292573169,cpd00065_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00393_e0,-0.0001529402692431941,0.015006258292573169,cpd00393_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00048_e0,-0.00010975597837810268,0.015006258292573169,cpd00048_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00305_e0,-5.0980089747731365e-05,0.015006258292573169,cpd00305_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00075_e0,-0.08030991456843023,0.015006258292573169,cpd00075_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00322_e0,-0.005249212933130352,0.015006258292573169,cpd00322_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00080_e0,-1.6192979792624238,0.015006258292573169,cpd00080_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00182_e0,-0.002759319838405584,0.015006258292573169,cpd00182_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00060_e0,-0.0021951445196338533,0.015006258292573169,cpd00060_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00132_e0,-0.00344306914380927,0.015006258292573169,cpd00132_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd10516_e0,-0.00010975597837810268,0.015006258292573169,cpd10516_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00039_e0,-0.004901487078086567,0.015006258292573169,cpd00039_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00066_e0,-0.002646201612709308,0.015006258292573169,cpd00066_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00036_e0,0.05302293211815472,0.015006258292573169,cpd00036_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00139_e0,-0.008286028507095311,0.015006258292573169,cpd00139_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00058_e0,-0.00010975597837810268,0.015006258292573169,cpd00058_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00119_e0,-0.0013531712792263536,0.015006258292573169,cpd00119_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00149_e0,-0.00010975597837810268,0.015006258292573169,cpd00149_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00063_e0,-0.00010975597837810268,0.015006258292573169,cpd00063_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00030_e0,-0.00010975597837810268,0.015006258292573169,cpd00030_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00100_e0,0.1812220172996993,0.015006258292573169,cpd00100_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00311_e0,-0.003443558838892122,0.015006258292573169,cpd00311_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00006_e0,0.0006728982754867401,0.015006258292573169,cpd00006_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00054_e0,-0.003806784397867347,0.015006258292573169,cpd00054_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00051_e0,-0.004224901438473385,0.015006258292573169,cpd00051_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00161_e0,-0.003623491981039455,0.015006258292573169,cpd00161_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00129_e0,-0.0031573996515281526,0.015006258292573169,cpd00129_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00448_e0,0.6673406002809155,0.015006258292573169,cpd00448_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd10515_e0,-0.00016073606812583405,0.015006258292573169,cpd10515_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00264_e0,-5.0980089747731365e-05,0.015006258292573169,cpd00264_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00371_e0,0.5827858201946527,0.015006258292573169,cpd00371_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00009_e0,1.6041228909260716,0.015006258292573169,cpd00009_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd03847_e0,-0.0002076293019461018,0.015006258292573169,cpd03847_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00017_e0,-0.0002039203589909258,0.015006258292573169,cpd00017_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd01741_e0,-0.00031417527818534074,0.015006258292573169,cpd01741_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00099_e0,-0.00010975597837810268,0.015006258292573169,cpd00099_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00184_e0,-0.0003714038608419087,0.015006258292573169,cpd00184_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00084_e0,-0.0012061053904233435,0.015006258292573169,cpd00084_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00307_e0,-0.0022841508573607757,0.015006258292573169,cpd00307_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00029_e0,0.0004152586038922036,0.015006258292573169,cpd00029_e0,export
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00010_e0,-0.00010196017949546483,0.015006258292573169,cpd00010_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00254_e0,-0.00010975597837810268,0.015006258292573169,cpd00254_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00205_e0,-0.00010975597837810268,0.015006258292573169,cpd00205_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00003_e0,-0.0007748584549822726,0.015006258292573169,cpd00003_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00069_e0,-0.001969615973096141,0.015006258292573169,cpd00069_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00794_e0,-0.0017551541599244605,0.015006258292573169,cpd00794_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00249_e0,-0.0020527223279571414,0.015006258292573169,cpd00249_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00118_e0,-5.0980089747731365e-05,0.015006258292573169,cpd00118_e0,import
S1083C200_Klebsiella_pneumoniae,ERR1620330_sub,1e-06,EX_cpd00035_e0,0.0446442308634186,0.015006258292573169,cpd00035_e0,export
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00028_e0,-1.9889279811461885e-05,0.00417413352396,cpd00028_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00034_e0,-2.808615068477618e-05,0.00417413352396,cpd00034_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00033_e0,-0.001848862248363178,0.00417413352396,cpd00033_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00220_e0,-3.977855962292377e-05,0.00417413352396,cpd00220_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00023_e0,-0.0013326224099084738,0.00417413352396,cpd00023_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00065_e0,-0.00024349690171909734,0.00417413352396,cpd00065_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00393_e0,-5.966783943438567e-05,0.00417413352396,cpd00393_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00048_e0,-2.808615068477618e-05,0.00417413352396,cpd00048_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00305_e0,-1.9889279811461885e-05,0.00417413352396,cpd00305_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00322_e0,-0.0015342832344970737,0.00417413352396,cpd00322_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00156_e0,-0.0013749336330153546,0.00417413352396,cpd00156_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00092_e0,0.030495703552032058,0.00417413352396,cpd00092_e0,export
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00060_e0,-0.00046735408531083713,0.00417413352396,cpd00060_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00053_e0,-0.001186111282781876,0.00417413352396,cpd00053_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00132_e0,-0.0006627509655813021,0.00417413352396,cpd00132_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd10516_e0,-2.808615068477618e-05,0.00417413352396,cpd10516_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00039_e0,-0.001446334980135992,0.00417413352396,cpd00039_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00058_e0,-2.808615068477618e-05,0.00417413352396,cpd00058_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00119_e0,-0.00036616075446480815,0.00417413352396,cpd00119_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00149_e0,-2.808615068477618e-05,0.00417413352396,cpd00149_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00063_e0,-2.808615068477618e-05,0.00417413352396,cpd00063_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00030_e0,-2.808615068477618e-05,0.00417413352396,cpd00030_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00100_e0,0.00010037377394711601,0.00417413352396,cpd00100_e0,export
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00311_e0,-0.00035818399903559333,0.00417413352396,cpd00311_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00067_e0,0.05448203328260021,0.00417413352396,cpd00067_e0,export
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00054_e0,-0.001068868969506533,0.00417413352396,cpd00054_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00051_e0,-0.021189489384678697,0.00417413352396,cpd00051_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00161_e0,-0.0008348465201797627,0.00417413352396,cpd00161_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd10515_e0,-4.7975430496238064e-05,0.00417413352396,cpd10515_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00011_e0,0.03833603501729302,0.00417413352396,cpd00011_e0,export
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00107_e0,-0.001878474343693995,0.00417413352396,cpd00107_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00009_e0,-0.005086253131295293,0.00417413352396,cpd00009_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00027_e0,-0.001185699186803904,0.00417413352396,cpd00027_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00216_e0,-0.0007872456220993392,0.00417413352396,cpd00216_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00064_e0,0.01956606556199548,0.00417413352396,cpd00064_e0,export
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00017_e0,-5.966783943438566e-05,0.00417413352396,cpd00017_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00099_e0,-2.808615068477618e-05,0.00417413352396,cpd00099_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00082_e0,-0.022526976345588687,0.00417413352396,cpd00082_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00084_e0,-0.0003141495637874273,0.00417413352396,cpd00084_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00122_e0,-0.0008014785290998553,0.00417413352396,cpd00122_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00106_e0,0.00031838525695029873,0.00417413352396,cpd00106_e0,export
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00029_e0,0.06024979784974358,0.00417413352396,cpd00029_e0,export
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00644_e0,-3.97785596229236e-05,0.00417413352396,cpd00644_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd11640_e0,0.017035593090487508,0.00417413352396,cpd11640_e0,export
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00254_e0,-2.808615068477618e-05,0.00417413352396,cpd00254_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd01217_e0,-0.00027860669732737497,0.00417413352396,cpd01217_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00205_e0,-2.808615068477618e-05,0.00417413352396,cpd00205_e0,import
S1090C749_Collinsella_unk_sp,ERR1620330_sub,1e-06,EX_cpd00003_e0,-3.977855962292859e-05,0.00417413352396,cpd00003_e0,import
