reaction,global_id,metabolite,flux,metabolite_BIGG,Description_BIGG,MNXM_ID
EX_cpd00180_m,EX_cpd00180_e0,cpd00180,0.0446957,oxa_m,Oxalate,MNXM291
EX_cpd00182_m,EX_cpd00182_e0,cpd00182,0.1,adn_m,Adenosine,MNXM1105760
EX_cpd00184_m,EX_cpd00184_e0,cpd00184,0.1,thymd_m,Thymidine,MNXM420
EX_cpd00185_m,EX_cpd00185_e0,cpd00185,0.1,arab_D_m,,
EX_cpd00186_m,EX_cpd00186_e0,cpd00186,0.00001,glu_D_m,,
EX_cpd00188_m,EX_cpd00188_e0,cpd00188,0.00001,arachd_m,Arachidonic acid,MNXM1107770
EX_cpd00205_m,EX_cpd00205_e0,cpd00205,0.1,k_m,Potassium,MNXM95
EX_cpd00207_m,EX_cpd00207_e0,cpd00207,0.1,gua_m,Guanine,MNXM733114
EX_cpd00214_m,EX_cpd00214_e0,cpd00214,0.0396371,hdca_m,Hexadecanoate (n-C16:0),MNXM108
EX_cpd00215_m,EX_cpd00215_e0,cpd00215,0.1,pydx_m,Pyridoxal,MNXM311
EX_cpd00216_m,EX_cpd00216_e0,cpd00216,0.1,chor_m,Chorismate,MNXM337
EX_cpd00218_m,EX_cpd00218_e0,cpd00218,0.1,nac_m,Nicotinate,MNXM274
EX_cpd00220_m,EX_cpd00220_e0,cpd00220,0.1,ribflv_m,Riboflavin,MNXM270
EX_cpd00222_m,EX_cpd00222_e0,cpd00222,0.0148986,glcn_m,D-Gluconate,MNXM341
EX_cpd00224_m,EX_cpd00224_e0,cpd00224,0.0178783,arab_L_m,,
EX_cpd00226_m,EX_cpd00226_e0,cpd00226,0.1,hxan_m,Hypoxanthine,MNXM732487
EX_cpd00239_m,EX_cpd00239_e0,cpd00239,0.1,h2s_m,Hydrogen sulfide,MNXM124865
EX_cpd00249_m,EX_cpd00249_e0,cpd00249,0.1,uri_m,Uridine,MNXM1103104
EX_cpd00254_m,EX_cpd00254_e0,cpd00254,0.1,mg2_m,Magnesium,MNXM653
EX_cpd00263_m,EX_cpd00263_e0,cpd00263,1.00E-01,pydxn_m,Pyridoxine,MNXM419
EX_cpd00264_m,EX_cpd00264_e0,cpd00264,0.1,spmd_m,Spermidine,MNXM124
EX_cpd00276_m,EX_cpd00276_e0,cpd00276,0.1,gam_m,D-Glucosamine,MNXM1105684
EX_cpd00277_m,EX_cpd00277_e0,cpd00277,0.1,dgsn_m,Deoxyguanosine,MNXM647
EX_cpd00305_m,EX_cpd00305_e0,cpd00305,0.1,thm_m,Thiamin,MNXM730135
EX_cpd00307_m,EX_cpd00307_e0,cpd00307,0.1,csn_m,Cytosine,MNXM761
EX_cpd00309_m,EX_cpd00309_e0,cpd00309,0.1,xan_m,Xanthine,MNXM174
EX_cpd00311_m,EX_cpd00311_e0,cpd00311,0.1,gsn_m,Guanosine,MNXM1103400
EX_cpd00314_m,EX_cpd00314_e0,cpd00314,0.0148986,mnl_m,D-Mannitol,MNXM1104590
EX_cpd00322_m,EX_cpd00322_e0,cpd00322,0.015,ile_L_m,,
EX_cpd00355_m,EX_cpd00355_e0,cpd00355,0.1,nmn_m,NMN,MNXM355
EX_cpd00359_m,EX_cpd00359_e0,cpd00359,0.1,indole_m,Indole,MNXM735090
EX_cpd00367_m,EX_cpd00367_e0,cpd00367,0.1,cytd_m,Cytidine,MNXM1104207
EX_cpd00382_m,EX_cpd00382_e0,cpd00382,4.70E-03,raffin_m,Raffinose,MNXM1108339
EX_cpd00393_m,EX_cpd00393_e0,cpd00393,0.1,fol_m,Folate,MNXM617
EX_cpd00419_m,EX_cpd00419_e0,cpd00419,0.1,pydam_m,Pyridoxamine,MNXM548
EX_cpd00438_m,EX_cpd00438_e0,cpd00438,0.1,dad_2_m,Deoxyadenosine,MNXM625
EX_cpd00443_m,EX_cpd00443_e0,cpd00443,0.1,4abz_m,4-Aminobenzoate,MNXM421
EX_cpd00492_m,EX_cpd00492_e0,cpd00492,0.1,acmana_m,N-Acetyl-D-mannosamine,MNXM1105881
EX_cpd00508_m,EX_cpd00508_e0,cpd00508,0.1,3mop_m,(S)-3-Methyl-2-oxopentanoate,MNXM1103447
EX_cpd00516_m,EX_cpd00516_e0,cpd00516,0.1,26dap_M_m,,
EX_cpd00536_m,EX_cpd00536_e0,cpd00536,0.0681445,ocdcea_m,Octadecenoate (n-C18:1),MNXM1107708
EX_cpd00557_m,EX_cpd00557_e0,cpd00557,0.1,sheme_m,Siroheme,MNXM1104857
EX_cpd00588_m,EX_cpd00588_e0,cpd00588,0.007549065,sbt_D_m,,
